id,ts,operator_id,shift_id,ear_avg,perclos_60s,yawn_count,head_down_events,phone_detected,fatigue_score,fatigue_level
1,2026-06-01T00:30:00Z,OP05,SH-2026-06-01-M06-D,0.303,0.042,0,0,false,0.062,low
2,2026-06-01T00:31:00Z,OP05,SH-2026-06-01-M06-D,0.284,0.061,0,0,false,0.091,low
3,2026-06-01T00:32:00Z,OP05,SH-2026-06-01-M06-D,0.311,0.054,0,0,false,0.082,low
4,2026-06-01T00:33:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.024,0,0,false,0.036,low
5,2026-06-01T00:34:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.071,0,0,false,0.107,low
6,2026-06-01T00:35:00Z,OP05,SH-2026-06-01-M06-D,0.304,0.022,0,0,false,0.035,low
7,2026-06-01T00:36:00Z,OP05,SH-2026-06-01-M06-D,0.32,0.028,1,0,false,0.094,low
8,2026-06-01T00:37:00Z,OP05,SH-2026-06-01-M06-D,0.288,0.041,0,0,false,0.113,low
9,2026-06-01T00:38:00Z,OP05,SH-2026-06-01-M06-D,0.309,0.031,0,0,false,0.099,low
10,2026-06-01T00:39:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.053,0,0,false,0.131,low
11,2026-06-01T00:40:00Z,OP05,SH-2026-06-01-M06-D,0.302,0.041,0,0,false,0.114,low
12,2026-06-01T00:41:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.033,0,0,false,0.103,low
13,2026-06-01T00:42:00Z,OP05,SH-2026-06-01-M06-D,0.297,0.039,0,0,false,0.111,low
14,2026-06-01T00:43:00Z,OP05,SH-2026-06-01-M06-D,0.291,0.046,0,0,false,0.123,low
15,2026-06-01T00:44:00Z,OP05,SH-2026-06-01-M06-D,0.305,0.058,0,0,false,0.141,low
16,2026-06-01T00:45:00Z,OP05,SH-2026-06-01-M06-D,0.31,0.035,0,0,false,0.106,low
17,2026-06-01T00:46:00Z,OP05,SH-2026-06-01-M06-D,0.311,0.051,0,0,false,0.08,low
18,2026-06-01T00:47:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.044,0,0,false,0.07,low
19,2026-06-01T00:48:00Z,OP05,SH-2026-06-01-M06-D,0.303,0.039,0,0,false,0.063,low
20,2026-06-01T00:49:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.07,0,0,false,0.109,low
21,2026-06-01T00:50:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.043,0,0,false,0.07,low
22,2026-06-01T00:51:00Z,OP05,SH-2026-06-01-M06-D,0.289,0.032,0,0,false,0.054,low
23,2026-06-01T00:52:00Z,OP05,SH-2026-06-01-M06-D,0.307,0.042,0,0,false,0.069,low
24,2026-06-01T00:53:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.043,0,0,false,0.07,low
25,2026-06-01T00:54:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.058,0,0,false,0.093,low
26,2026-06-01T00:55:00Z,OP05,SH-2026-06-01-M06-D,0.313,0.021,0,0,false,0.038,low
27,2026-06-01T00:56:00Z,OP05,SH-2026-06-01-M06-D,0.305,0.064,0,0,false,0.103,low
28,2026-06-01T00:57:00Z,OP05,SH-2026-06-01-M06-D,0.304,0.027,0,0,false,0.048,low
29,2026-06-01T00:58:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.019,0,0,false,0.035,low
30,2026-06-01T00:59:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.057,0,0,false,0.093,low
31,2026-06-01T01:00:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.061,0,0,false,0.099,low
32,2026-06-01T01:01:00Z,OP05,SH-2026-06-01-M06-D,0.303,0.044,0,0,false,0.074,low
33,2026-06-01T01:02:00Z,OP05,SH-2026-06-01-M06-D,0.309,0.048,0,0,false,0.08,low
34,2026-06-01T01:03:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.051,0,0,false,0.085,low
35,2026-06-01T01:04:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.05,0,0,false,0.084,low
36,2026-06-01T01:05:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.068,0,0,false,0.111,low
37,2026-06-01T01:06:00Z,OP05,SH-2026-06-01-M06-D,0.307,0.046,0,0,false,0.078,low
38,2026-06-01T01:07:00Z,OP05,SH-2026-06-01-M06-D,0.273,0.068,0,0,false,0.111,low
39,2026-06-01T01:08:00Z,OP05,SH-2026-06-01-M06-D,0.289,0.047,0,0,false,0.079,low
40,2026-06-01T01:09:00Z,OP05,SH-2026-06-01-M06-D,0.272,0.04,0,0,false,0.07,low
41,2026-06-01T01:10:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.063,0,0,false,0.105,low
42,2026-06-01T01:11:00Z,OP05,SH-2026-06-01-M06-D,0.283,0.056,0,0,false,0.094,low
43,2026-06-01T01:12:00Z,OP05,SH-2026-06-01-M06-D,0.3,0.023,0,0,false,0.045,low
44,2026-06-01T01:13:00Z,OP05,SH-2026-06-01-M06-D,0.301,0.071,0,0,false,0.117,low
45,2026-06-01T01:14:00Z,OP05,SH-2026-06-01-M06-D,0.314,0.038,0,0,false,0.068,low
46,2026-06-01T01:15:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.059,0,0,false,0.1,low
47,2026-06-01T01:16:00Z,OP05,SH-2026-06-01-M06-D,0.305,0.053,0,0,false,0.091,low
48,2026-06-01T01:17:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.08,0,0,false,0.132,low
49,2026-06-01T01:18:00Z,OP05,SH-2026-06-01-M06-D,0.324,0.034,0,0,false,0.063,low
50,2026-06-01T01:19:00Z,OP05,SH-2026-06-01-M06-D,0.289,0.06,0,0,false,0.102,low
51,2026-06-01T01:20:00Z,OP05,SH-2026-06-01-M06-D,0.294,0.051,0,0,false,0.089,low
52,2026-06-01T01:21:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.064,0,0,false,0.109,low
53,2026-06-01T01:22:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.058,0,0,false,0.1,low
54,2026-06-01T01:23:00Z,OP05,SH-2026-06-01-M06-D,0.274,0.061,0,0,false,0.105,low
55,2026-06-01T01:24:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.082,0,0,false,0.137,low
56,2026-06-01T01:25:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.042,0,0,false,0.076,low
57,2026-06-01T01:26:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.066,0,0,false,0.112,low
58,2026-06-01T01:27:00Z,OP05,SH-2026-06-01-M06-D,0.313,0.07,0,0,false,0.119,low
59,2026-06-01T01:28:00Z,OP05,SH-2026-06-01-M06-D,0.278,0.076,0,0,false,0.129,low
60,2026-06-01T01:29:00Z,OP05,SH-2026-06-01-M06-D,0.289,0.064,0,0,false,0.111,low
61,2026-06-01T01:30:00Z,OP05,SH-2026-06-01-M06-D,0.315,0.056,0,0,false,0.1,low
62,2026-06-01T01:31:00Z,OP05,SH-2026-06-01-M06-D,0.292,0.065,0,0,false,0.113,low
63,2026-06-01T01:32:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.048,0,0,false,0.088,low
64,2026-06-01T01:33:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.009,0,0,false,0.03,low
65,2026-06-01T01:34:00Z,OP05,SH-2026-06-01-M06-D,0.321,0.02,0,0,false,0.046,low
66,2026-06-01T01:35:00Z,OP05,SH-2026-06-01-M06-D,0.301,0.067,0,0,false,0.116,low
67,2026-06-01T01:36:00Z,OP05,SH-2026-06-01-M06-D,0.291,0.06,0,0,false,0.107,low
68,2026-06-01T01:37:00Z,OP05,SH-2026-06-01-M06-D,0.304,0.058,1,0,false,0.153,low
69,2026-06-01T01:38:00Z,OP05,SH-2026-06-01-M06-D,0.301,0.05,0,0,false,0.142,low
70,2026-06-01T01:39:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.059,0,0,false,0.156,low
71,2026-06-01T01:40:00Z,OP05,SH-2026-06-01-M06-D,0.283,0.052,0,0,false,0.145,low
72,2026-06-01T01:41:00Z,OP05,SH-2026-06-01-M06-D,0.312,0.045,0,0,false,0.135,low
73,2026-06-01T01:42:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.08,0,0,false,0.188,low
74,2026-06-01T01:43:00Z,OP05,SH-2026-06-01-M06-D,0.286,0.051,0,0,false,0.145,low
75,2026-06-01T01:44:00Z,OP05,SH-2026-06-01-M06-D,0.314,0.03,0,0,false,0.114,low
76,2026-06-01T01:45:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.052,0,0,false,0.147,low
77,2026-06-01T01:46:00Z,OP05,SH-2026-06-01-M06-D,0.268,0.057,0,0,false,0.154,low
78,2026-06-01T01:47:00Z,OP05,SH-2026-06-01-M06-D,0.279,0.054,0,0,false,0.1,low
79,2026-06-01T01:48:00Z,OP05,SH-2026-06-01-M06-D,0.288,0.066,0,0,false,0.119,low
80,2026-06-01T01:49:00Z,OP05,SH-2026-06-01-M06-D,0.264,0.074,0,0,false,0.131,low
81,2026-06-01T01:50:00Z,OP05,SH-2026-06-01-M06-D,0.314,0.052,0,0,false,0.098,low
82,2026-06-01T01:51:00Z,OP05,SH-2026-06-01-M06-D,0.31,0.056,0,0,false,0.104,low
83,2026-06-01T01:52:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.062,0,0,false,0.113,low
84,2026-06-01T01:53:00Z,OP05,SH-2026-06-01-M06-D,0.315,0.058,0,0,false,0.108,low
85,2026-06-01T01:54:00Z,OP05,SH-2026-06-01-M06-D,0.292,0.054,0,0,false,0.102,low
86,2026-06-01T01:55:00Z,OP05,SH-2026-06-01-M06-D,0.295,0.059,0,0,false,0.11,low
87,2026-06-01T01:56:00Z,OP05,SH-2026-06-01-M06-D,0.287,0.05,0,0,false,0.097,low
88,2026-06-01T01:57:00Z,OP05,SH-2026-06-01-M06-D,0.301,0.04,0,0,false,0.082,low
89,2026-06-01T01:58:00Z,OP05,SH-2026-06-01-M06-D,0.286,0.055,0,0,false,0.105,low
90,2026-06-01T01:59:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.07,0,0,false,0.128,low
91,2026-06-01T02:00:00Z,OP05,SH-2026-06-01-M06-D,0.308,0.038,0,0,false,0.08,low
92,2026-06-01T02:01:00Z,OP05,SH-2026-06-01-M06-D,0.286,0.074,0,0,false,0.134,low
93,2026-06-01T02:02:00Z,OP05,SH-2026-06-01-M06-D,0.309,0.036,0,0,false,0.078,low
94,2026-06-01T02:03:00Z,OP05,SH-2026-06-01-M06-D,0.294,0.049,0,0,false,0.097,low
95,2026-06-01T02:04:00Z,OP05,SH-2026-06-01-M06-D,0.301,0.066,0,0,false,0.122,low
96,2026-06-01T02:05:00Z,OP05,SH-2026-06-01-M06-D,0.304,0.066,0,0,false,0.122,low
97,2026-06-01T02:06:00Z,OP05,SH-2026-06-01-M06-D,0.309,0.039,0,0,false,0.082,low
98,2026-06-01T02:07:00Z,OP05,SH-2026-06-01-M06-D,0.302,0.067,0,0,false,0.124,low
99,2026-06-01T02:08:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.055,0,0,false,0.107,low
100,2026-06-01T02:09:00Z,OP05,SH-2026-06-01-M06-D,0.297,0.061,0,0,false,0.116,low
101,2026-06-01T02:10:00Z,OP05,SH-2026-06-01-M06-D,0.274,0.06,0,0,false,0.115,low
102,2026-06-01T02:11:00Z,OP05,SH-2026-06-01-M06-D,0.287,0.065,0,0,false,0.123,low
103,2026-06-01T02:12:00Z,OP05,SH-2026-06-01-M06-D,0.3,0.065,0,0,false,0.124,low
104,2026-06-01T02:13:00Z,OP05,SH-2026-06-01-M06-D,0.282,0.04,0,0,false,0.086,low
105,2026-06-01T02:14:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.079,0,0,false,0.145,low
106,2026-06-01T02:15:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.079,0,0,false,0.145,low
107,2026-06-01T02:16:00Z,OP05,SH-2026-06-01-M06-D,0.296,0.091,0,0,false,0.164,low
108,2026-06-01T02:17:00Z,OP05,SH-2026-06-01-M06-D,0.297,0.044,0,0,false,0.093,low
109,2026-06-01T02:18:00Z,OP05,SH-2026-06-01-M06-D,0.302,0.061,0,0,false,0.119,low
110,2026-06-01T02:19:00Z,OP05,SH-2026-06-01-M06-D,0.286,0.062,0,0,false,0.121,low
111,2026-06-01T02:20:00Z,OP05,SH-2026-06-01-M06-D,0.312,0.052,0,0,false,0.105,low
112,2026-06-01T02:21:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.072,0,0,false,0.135,low
113,2026-06-01T02:22:00Z,OP05,SH-2026-06-01-M06-D,0.288,0.071,0,0,false,0.134,low
114,2026-06-01T02:23:00Z,OP05,SH-2026-06-01-M06-D,0.283,0.064,0,0,false,0.125,low
115,2026-06-01T02:24:00Z,OP05,SH-2026-06-01-M06-D,0.295,0.102,0,0,false,0.182,low
116,2026-06-01T02:25:00Z,OP05,SH-2026-06-01-M06-D,0.287,0.078,0,0,false,0.146,low
117,2026-06-01T02:26:00Z,OP05,SH-2026-06-01-M06-D,0.305,0.065,0,0,false,0.127,low
118,2026-06-01T02:27:00Z,OP05,SH-2026-06-01-M06-D,0.307,0.068,0,0,false,0.131,low
119,2026-06-01T02:28:00Z,OP05,SH-2026-06-01-M06-D,0.306,0.033,0,0,false,0.079,low
120,2026-06-01T02:29:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.057,0,0,false,0.116,low
121,2026-06-01T02:30:00Z,OP05,SH-2026-06-01-M06-D,0.305,0.067,0,0,false,0.131,low
122,2026-06-01T02:31:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.075,0,0,false,0.143,low
123,2026-06-01T02:32:00Z,OP05,SH-2026-06-01-M06-D,0.284,0.086,0,0,false,0.16,low
124,2026-06-01T02:33:00Z,OP05,SH-2026-06-01-M06-D,0.291,0.075,0,0,false,0.143,low
125,2026-06-01T02:34:00Z,OP05,SH-2026-06-01-M06-D,0.312,0.058,0,0,false,0.118,low
126,2026-06-01T02:35:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.075,0,0,false,0.143,low
127,2026-06-01T02:36:00Z,OP05,SH-2026-06-01-M06-D,0.277,0.095,0,0,false,0.174,low
128,2026-06-01T02:37:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.064,0,0,false,0.128,low
129,2026-06-01T02:38:00Z,OP05,SH-2026-06-01-M06-D,0.319,0.058,0,0,false,0.119,low
130,2026-06-01T02:39:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.074,0,0,false,0.143,low
131,2026-06-01T02:40:00Z,OP05,SH-2026-06-01-M06-D,0.288,0.063,0,0,false,0.126,low
132,2026-06-01T02:41:00Z,OP05,SH-2026-06-01-M06-D,0.285,0.085,0,0,false,0.16,low
133,2026-06-01T02:42:00Z,OP05,SH-2026-06-01-M06-D,0.293,0.059,0,0,false,0.122,low
134,2026-06-01T02:43:00Z,OP05,SH-2026-06-01-M06-D,0.295,0.075,0,0,false,0.145,low
135,2026-06-01T02:44:00Z,OP05,SH-2026-06-01-M06-D,0.287,0.059,0,0,false,0.123,low
136,2026-06-01T02:45:00Z,OP05,SH-2026-06-01-M06-D,0.298,0.082,0,0,false,0.157,low
137,2026-06-01T02:46:00Z,OP05,SH-2026-06-01-M06-D,0.291,0.083,0,0,false,0.158,low
138,2026-06-01T02:47:00Z,OP05,SH-2026-06-01-M06-D,0.277,0.09,0,0,false,0.169,low
139,2026-06-01T02:48:00Z,OP05,SH-2026-06-01-M06-D,0.309,0.057,0,0,false,0.12,low
140,2026-06-01T02:49:00Z,OP05,SH-2026-06-01-M06-D,0.282,0.067,0,0,false,0.135,low
141,2026-06-01T02:50:00Z,OP05,SH-2026-06-01-M06-D,0.277,0.093,0,0,false,0.174,low
142,2026-06-01T02:51:00Z,OP05,SH-2026-06-01-M06-D,0.299,0.098,0,0,false,0.183,low
143,2026-06-01T02:52:00Z,OP05,SH-2026-06-01-M06-D,0.29,0.068,0,0,false,0.137,low
144,2026-06-01T02:53:00Z,OP05,SH-2026-06-01-M06-D,0.277,0.094,0,0,false,0.176,low
