task_id,site_id,shift_id,machine_id,operator_id,sequence_no,task_date,task_type,material_type,quantity,unit,terrain_slope_deg,haul_distance_m,priority,scheduled_start,predicted_p10_min,predicted_p50_min,predicted_p90_min,prediction_factors,actual_start,actual_end,actual_duration_min,status,delay_reason
T-SH-2026-06-01-M01-D-1,S1,SH-2026-06-01-M01-D,M01,OP06,1,2026-06-01,load,clay,320,m3,0.7,,2,2026-06-01T00:43:30Z,,,,,2026-06-01T00:43:30Z,2026-06-01T02:11:21Z,87.8,completed,
T-SH-2026-06-01-M01-D-2,S1,SH-2026-06-01-M01-D,M01,OP06,2,2026-06-01,load,gravel,125,m3,3.5,,2,2026-06-01T02:24:39Z,,,,,2026-06-01T02:24:39Z,2026-06-01T03:25:34Z,60.9,completed,waiting for truck
T-SH-2026-06-01-M01-D-3,S1,SH-2026-06-01-M01-D,M01,OP06,3,2026-06-01,dig,sand,80,m3,0.1,,2,2026-06-01T03:37:06Z,,,,,2026-06-01T03:37:06Z,2026-06-01T04:02:34Z,25.5,completed,
T-SH-2026-06-01-M01-D-4,S1,SH-2026-06-01-M01-D,M01,OP06,4,2026-06-01,dig,clay,205,m3,0.8,,2,2026-06-01T04:16:35Z,,,,,2026-06-01T04:16:35Z,2026-06-01T05:32:51Z,76.3,completed,
T-SH-2026-06-01-M01-D-5,S1,SH-2026-06-01-M01-D,M01,OP06,5,2026-06-01,trench,sand,65,m3,7.8,,2,2026-06-01T05:38:25Z,,,,,2026-06-01T05:38:25Z,2026-06-01T06:24:45Z,46.3,completed,
T-SH-2026-06-01-M01-D-6,S1,SH-2026-06-01-M01-D,M01,OP06,6,2026-06-01,load,gravel,180,m3,2.1,,1,2026-06-01T06:33:20Z,,,,,2026-06-01T06:33:20Z,2026-06-01T07:34:59Z,61.7,completed,
T-SH-2026-06-01-M06-D-1,S1,SH-2026-06-01-M06-D,M06,OP10,1,2026-06-01,haul,sand,35,tons,2.2,1150.0,2,2026-06-01T00:38:53Z,,,,,2026-06-01T00:38:53Z,2026-06-01T01:10:32Z,31.6,completed,
T-SH-2026-06-01-M06-D-2,S1,SH-2026-06-01-M06-D,M06,OP10,2,2026-06-01,haul,sand,210,tons,3.8,750.0,2,2026-06-01T01:18:56Z,,,,,2026-06-01T01:18:56Z,2026-06-01T03:12:02Z,113.1,completed,
T-SH-2026-06-01-M06-D-3,S1,SH-2026-06-01-M06-D,M06,OP10,3,2026-06-01,haul,clay,35,tons,3.6,1150.0,2,2026-06-01T03:19:44Z,,,,,2026-06-01T03:19:44Z,2026-06-01T03:48:10Z,28.4,completed,
T-SH-2026-06-01-M06-D-4,S1,SH-2026-06-01-M06-D,M06,OP10,4,2026-06-01,haul,topsoil,130,tons,5.4,900.0,1,2026-06-01T03:59:14Z,,,,,2026-06-01T03:59:14Z,2026-06-01T06:24:50Z,145.6,completed,blocked access
T-SH-2026-06-01-M06-D-5,S1,SH-2026-06-01-M06-D,M06,OP10,5,2026-06-01,haul,clay,125,tons,4.3,1100.0,2,2026-06-01T06:31:58Z,,,,,2026-06-01T06:31:58Z,,,delayed,not finished before shift end
T-SH-2026-06-01-M01-N-1,S1,SH-2026-06-01-M01-N,M01,OP07,1,2026-06-01,trench,topsoil,130,m3,3.1,,2,2026-06-01T12:42:21Z,,,,,2026-06-01T12:42:21Z,2026-06-01T14:52:24Z,130.0,completed,
T-SH-2026-06-01-M01-N-2,S1,SH-2026-06-01-M01-N,M01,OP07,2,2026-06-01,dig,sand,165,m3,8.0,,2,2026-06-01T15:04:58Z,,,,,2026-06-01T15:04:58Z,2026-06-01T16:36:24Z,91.4,completed,
T-SH-2026-06-01-M01-N-3,S1,SH-2026-06-01-M01-N,M01,OP07,3,2026-06-01,dig,clay,140,m3,0.6,,1,2026-06-01T16:45:50Z,,,,,2026-06-01T16:45:50Z,2026-06-01T18:04:25Z,78.6,completed,
