id,ts,machine_id,operator_id,shift_id,engine_rpm,engine_load_pct,coolant_temp_c,engine_oil_temp_c,oil_pressure_kpa,hydraulic_pressure_bar,hydraulic_oil_temp_c,fuel_rate_lph,fuel_level_pct,battery_voltage,vibration_rms_g,ground_speed_kmh,pitch_deg,roll_deg,gps_lat,gps_lon,seatbelt_fastened,is_idle,fault_code,anomaly_label,anomaly_type
1,2026-06-01T00:30:00Z,M01,OP06,SH-2026-06-01-M01-D,825.4,7.15,85.65,85.8,178.0,31.5,46.88,3.14,90.3,27.05,0.186,0.0,-0.31,-0.69,12.9182,79.130757,true,true,,false,
2,2026-06-01T00:31:00Z,M01,OP06,SH-2026-06-01-M01-D,824.9,5.94,85.86,85.33,187.9,24.2,46.9,3.07,90.28,27.1,0.177,0.0,-0.49,-0.36,12.9182,79.130757,true,true,,false,
3,2026-06-01T00:32:00Z,M01,OP06,SH-2026-06-01-M01-D,817.8,4.4,86.02,84.87,183.0,28.9,46.78,2.4,90.27,27.01,0.179,0.0,-0.22,-0.11,12.9182,79.130757,true,true,,false,
4,2026-06-01T00:33:00Z,M01,OP06,SH-2026-06-01-M01-D,821.1,8.51,85.8,85.02,180.5,29.5,46.92,2.43,90.26,26.91,0.165,0.0,0.04,-0.05,12.9182,79.130757,true,true,,false,
5,2026-06-01T00:34:00Z,M01,OP06,SH-2026-06-01-M01-D,822.8,4.79,85.61,84.9,176.6,21.2,47.04,2.75,90.24,26.83,0.144,0.0,0.22,0.06,12.9182,79.130757,true,true,,false,
6,2026-06-01T00:35:00Z,M01,OP06,SH-2026-06-01-M01-D,827.9,6.19,85.6,85.14,170.8,30.7,47.02,2.98,90.23,26.79,0.169,0.0,0.12,0.18,12.9182,79.130757,true,true,,false,
7,2026-06-01T00:36:00Z,M01,OP06,SH-2026-06-01-M01-D,834.0,9.94,85.38,85.11,163.1,31.2,46.94,3.14,90.22,26.86,0.179,0.0,0.3,-0.01,12.9182,79.130757,true,true,,false,
8,2026-06-01T00:37:00Z,M01,OP06,SH-2026-06-01-M01-D,822.3,5.88,85.36,84.96,166.4,28.9,46.87,2.52,90.2,26.86,0.179,0.0,-0.13,0.06,12.9182,79.130757,true,true,,false,
9,2026-06-01T00:38:00Z,M01,OP06,SH-2026-06-01-M01-D,800.4,4.64,85.18,84.84,166.0,26.6,46.94,2.16,90.19,26.92,0.166,0.0,0.17,0.38,12.9182,79.130757,true,true,,false,
10,2026-06-01T00:39:00Z,M01,OP06,SH-2026-06-01-M01-D,788.3,6.95,85.11,85.16,166.6,22.6,47.04,2.03,90.18,26.99,0.193,0.0,0.12,0.01,12.9182,79.130757,true,true,,false,
