id,site_id,ts,temp_c,humidity_pct,rain_mm,wind_kmh,visibility_m,dust_index
1,S1,2026-05-31T18:30:00Z,28.5,80.42,0.0,4.0,8000.0,0.27
2,S1,2026-05-31T19:30:00Z,23.6,79.51,0.0,6.9,8000.0,0.12
3,S1,2026-05-31T20:30:00Z,27.5,72.04,0.0,4.7,7967.6,0.19
4,S1,2026-05-31T21:30:00Z,21.7,90.87,0.0,3.5,7818.9,0.26
5,S1,2026-05-31T22:30:00Z,22.0,87.78,0.0,3.6,8000.0,0.2
6,S1,2026-05-31T23:30:00Z,26.8,77.55,0.0,8.2,7832.0,0.17
7,S1,2026-06-01T00:30:00Z,20.2,85.21,0.0,2.9,8000.0,0.14
8,S1,2026-06-01T01:30:00Z,24.4,84.64,0.0,2.3,7979.9,0.2
9,S1,2026-06-01T02:30:00Z,26.1,71.49,0.0,0.7,8000.0,0.3
10,S1,2026-06-01T03:30:00Z,29.1,63.05,0.0,8.2,8000.0,0.12
11,S1,2026-06-01T04:30:00Z,30.9,76.04,0.0,1.9,8000.0,0.11
12,S1,2026-06-01T05:30:00Z,33.5,69.6,0.0,2.8,8000.0,0.3
13,S1,2026-06-01T06:30:00Z,33.0,55.06,0.0,7.5,8000.0,0.2
14,S1,2026-06-01T07:30:00Z,36.6,59.67,0.0,16.0,8000.0,0.27
15,S1,2026-06-01T08:30:00Z,36.8,49.43,0.0,3.6,7659.2,0.1
16,S1,2026-06-01T09:30:00Z,35.6,63.08,0.0,3.0,8000.0,0.16
17,S1,2026-06-01T10:30:00Z,35.8,63.61,0.0,2.4,8000.0,0.29
18,S1,2026-06-01T11:30:00Z,34.2,68.39,0.0,7.8,8000.0,0.25
19,S1,2026-06-01T12:30:00Z,34.8,58.02,0.0,9.2,7880.2,0.13
20,S1,2026-06-01T13:30:00Z,33.3,56.45,0.0,5.1,7898.8,0.29
21,S1,2026-06-01T14:30:00Z,33.8,60.58,0.0,7.9,8000.0,0.15
22,S1,2026-06-01T15:30:00Z,31.0,73.27,0.0,11.9,8000.0,0.12
23,S1,2026-06-01T16:30:00Z,29.9,62.4,0.0,4.2,7814.6,0.13
24,S1,2026-06-01T17:30:00Z,27.5,70.91,0.0,10.7,8000.0,0.22
25,S1,2026-06-01T18:30:00Z,28.1,68.77,0.0,4.2,7877.3,0.11
26,S1,2026-06-01T19:30:00Z,28.8,66.36,0.0,4.9,7905.0,0.28
27,S1,2026-06-01T20:30:00Z,26.9,79.55,0.0,6.0,8000.0,0.11
28,S1,2026-06-01T21:30:00Z,25.0,77.19,0.0,6.1,7658.8,0.26
29,S1,2026-06-01T22:30:00Z,23.0,81.45,0.0,7.4,7919.6,0.27
30,S1,2026-06-01T23:30:00Z,24.6,77.37,0.0,3.5,7787.6,0.29
31,S1,2026-06-02T00:30:00Z,24.7,100.0,5.27,9.6,2880.5,0.15
32,S1,2026-06-02T01:30:00Z,24.5,97.28,0.81,11.8,5183.1,0.16
33,S1,2026-06-02T02:30:00Z,26.2,86.57,0.58,4.8,5181.3,0.27
34,S1,2026-06-02T03:30:00Z,29.7,92.01,6.58,19.5,2892.8,0.29
35,S1,2026-06-02T04:30:00Z,29.0,92.75,1.88,8.0,6509.3,0.27
36,S1,2026-06-02T05:30:00Z,35.0,84.83,2.01,2.8,5613.9,0.21
37,S1,2026-06-02T06:30:00Z,34.4,62.81,0.0,3.7,8000.0,0.27
38,S1,2026-06-02T07:30:00Z,34.9,66.54,0.0,2.8,8000.0,0.24
39,S1,2026-06-02T08:30:00Z,33.2,71.0,0.0,3.8,7885.1,0.18
40,S1,2026-06-02T09:30:00Z,34.1,71.17,0.0,5.6,7891.2,0.15
41,S1,2026-06-02T10:30:00Z,39.4,64.66,0.0,15.3,7853.6,0.15
42,S1,2026-06-02T11:30:00Z,33.0,58.9,0.0,22.6,7692.2,0.11
43,S1,2026-06-02T12:30:00Z,34.8,64.57,0.0,10.1,7881.3,0.29
44,S1,2026-06-02T13:30:00Z,31.5,74.02,0.0,6.8,8000.0,0.21
45,S1,2026-06-02T14:30:00Z,29.7,71.14,0.0,0.7,7917.4,0.2
46,S1,2026-06-02T15:30:00Z,31.2,62.87,0.0,3.8,8000.0,0.2
47,S1,2026-06-02T16:30:00Z,32.6,61.91,0.0,7.3,7770.5,0.22
48,S1,2026-06-02T17:30:00Z,29.9,66.43,0.0,4.9,8000.0,0.14
