entity_type,entity_id,site_id,week_start,productive_hours,fuel_per_productive_hour,idle_pct,productivity_per_hour,time_ratio,anomaly_count,safety_event_count,efficiency_index,cluster_id,cluster_label,is_outlier,outlier_reason,rank_in_site
machine,M01,S1,2026-06-01,55.33,17.08,15.39,110.24,0.999,2,15,1.043,2,efficient,True,"Machine anomalies per 10 h 0.31 is far above normal for an excavator (typical 0.04, z +3.1).",1
machine,M01,S1,2026-06-08,77.78,17.21,13.3,87.29,1.019,0,24,0.403,2,efficient,False,,3
machine,M01,S1,2026-06-15,68.3,17.82,18.4,104.32,0.99,0,30,0.392,2,efficient,False,,4
machine,M01,S1,2026-06-22,50.4,17.71,20.04,95.73,1.019,0,23,-0.028,1,idle-heavy,False,,5
machine,M01,S1,2026-06-29,70.43,17.41,19.01,89.52,1.032,0,24,-0.05,1,idle-heavy,False,,6
machine,M01,S1,2026-07-06,61.25,17.67,21.89,111.59,1.01,0,15,0.332,1,idle-heavy,False,,5
machine,M01,S1,2026-07-13,50.87,16.79,15.53,101.34,0.975,0,16,1.11,2,efficient,False,,2
machine,M01,S1,2026-07-20,54.98,17.22,16.78,102.94,0.993,1,17,0.748,2,efficient,False,,3
machine,M01,S1,2026-07-27,57.28,17.21,15.95,97.59,0.994,0,10,0.661,2,efficient,False,,4
machine,M01,S1,2026-08-03,59.2,17.36,16.97,88.94,1.081,1,24,-0.221,0,needs safety coaching,False,,6
machine,M01,S1,2026-08-10,44.02,18.37,13.52,94.85,1.045,0,23,-0.195,0,needs safety coaching,True,"Safety events per 10 h 4.5 is far above normal for an excavator (typical 2.6, z +3.0).",6
machine,M01,S1,2026-08-17,58.5,18.47,14.08,86.15,0.98,0,28,-0.088,2,efficient,True,"Unusual combination this week: high safety events per 10 h (z +2.4) and high fuel per productive hour (z +2.1), unlike any usual pattern.",5
machine,M01,S1,2026-08-24,46.52,18.22,24.08,91.8,0.997,1,14,-0.485,1,idle-heavy,True,"Unusual combination this week: high idle time (z +1.8) and high fuel per productive hour (z +1.6), unlike any usual pattern.",6
machine,M02,S1,2026-06-01,66.22,17.71,21.11,109.11,1.011,0,15,0.289,1,idle-heavy,False,,6
machine,M02,S1,2026-06-08,64.9,17.28,13.1,106.01,1.014,0,18,0.865,2,efficient,False,,2
machine,M02,S1,2026-06-15,48.13,18.81,20.79,108.55,1.032,0,15,-0.415,1,idle-heavy,True,"Fuel per productive hour 18.8 L/h is far above normal for an excavator (typical 17.5 L/h, z +2.8).",6
machine,M02,S1,2026-06-22,67.95,17.39,20.43,95.29,1.027,0,20,0.052,1,idle-heavy,False,,3
machine,M02,S1,2026-06-29,62.23,17.36,16.47,92.39,1.037,0,18,0.16,2,efficient,False,,4
machine,M02,S1,2026-07-06,61.23,17.53,20.37,101.99,1.028,0,17,0.141,1,idle-heavy,False,,6
machine,M02,S1,2026-07-13,63.62,17.42,15.05,105.79,1.044,0,24,0.492,2,efficient,False,,4
machine,M02,S1,2026-07-20,66.68,17.3,16.45,99.73,1.036,0,12,0.381,2,efficient,False,,4
machine,M02,S1,2026-07-27,42.77,17.53,14.81,111.07,0.999,0,11,0.86,2,efficient,False,,2
machine,M02,S1,2026-08-03,63.9,17.15,14.13,100.7,0.998,0,18,0.848,2,efficient,False,,2
machine,M02,S1,2026-08-10,61.67,16.56,13.51,108.57,1.001,0,13,1.368,2,efficient,False,,1
machine,M02,S1,2026-08-17,49.83,16.7,12.52,120.0,0.943,0,19,1.987,2,efficient,True,"Task time vs estimate 0.94× is far below normal for an excavator (typical 1.03×, z -2.7).",1
machine,M02,S1,2026-08-24,47.07,18.0,13.19,89.98,1.006,0,11,0.137,2,efficient,False,,4
machine,M03,S1,2026-06-01,55.85,15.37,17.28,150.49,0.983,0,18,0.309,2,efficient,False,,5
machine,M03,S1,2026-06-08,59.02,14.42,12.83,193.17,0.913,0,15,2.162,2,efficient,True,"Output per productive hour 193.2/h is far above normal for a wheel loader (typical 140.5/h, z +2.7).",1
machine,M03,S1,2026-06-15,45.22,14.87,14.52,160.67,0.982,0,14,0.89,2,efficient,False,,2
machine,M03,S1,2026-06-22,58.42,15.12,13.07,147.9,0.993,1,15,0.552,2,efficient,False,,2
machine,M03,S1,2026-06-29,50.13,14.68,14.59,150.0,0.947,0,9,0.993,2,efficient,False,,1
machine,M03,S1,2026-07-06,64.83,14.76,13.69,145.22,1.022,0,18,0.498,2,efficient,False,,3
machine,M03,S1,2026-07-13,61.38,15.22,20.16,143.85,1.043,1,20,-0.207,0,needs safety coaching,False,,6
machine,M03,S1,2026-07-20,70.62,14.88,17.63,137.08,0.997,2,25,0.223,0,needs safety coaching,False,,5
machine,M03,S1,2026-07-27,52.02,15.93,17.67,148.8,1.04,1,21,-0.345,0,needs safety coaching,False,,6
machine,M03,S1,2026-08-03,56.37,15.22,13.42,171.56,0.95,0,7,1.136,2,efficient,True,"Safety events per 10 h 1.1 is far below normal for a wheel loader (typical 2.7, z -2.6).",1
machine,M03,S1,2026-08-10,55.32,15.53,17.36,180.05,0.983,0,22,0.743,2,efficient,False,,2
machine,M03,S1,2026-08-17,46.93,16.26,23.62,164.28,0.987,0,16,-0.257,1,idle-heavy,False,,6
machine,M03,S1,2026-08-24,40.95,15.1,17.61,172.28,1.014,0,9,0.645,2,efficient,False,,2
machine,M04,S1,2026-06-01,68.43,15.06,18.4,171.63,0.98,0,18,0.799,2,efficient,False,,3
